title,news-source,date_YMD,timestamp,date,teaser,tags,article-url,image-url,,
Civic hackers (the good kind) help local governments,USA Today,6/23/2013,15879,"Jun 23, 2013",An eager software developer in a midsize Massachusetts city visited its City Hall one day to volunteer his expertise.,tag,http://www.usatoday.com/story/money/columnist/2013/06/23/baverman-columnist-entrepreneurs-startups/2445807/,http://www.gannett-cdn.com/-mm-/0c9109c71ea0524d9fe840f91fabd67bb94a26a9/r=537&c=0-0-534-712/local/-/media/USATODAY/GenericImages/2013/06/07/1370623077000-Laura-Baverman-1307191932_3_4.jpg,,
"Oakland, Calif., Launches Website for Answer Seekers",Government Technology,6/14/2013,15870,"Jun 14, 2013","Oakland, Calif., launched a new website dedicated to answering questions citizens may want to know about the city, according to the City Administrator’s Office.",tag,http://www.govtech.com/e-government/Oakland-Calif-Launches-Website-for-Answer-Seekers.html,http://media2.govtech.com/images/770*1000/shutterstock_Oakland_buildings.jpg,,
Code for America’s Jennifer Pahlka to Take a Year at the White House,Next City,5/30/2013,15855,"May 30, 2013","Jennifer Pahlka will take a year-long break from running the national civic tech non-profit Code for America to serve as the White House’s latest deputy chief technology officer for government innovation, according to a post on the organization’s blog.",tag,https://nextcity.org/daily/entry/code-for-americas-jennifer-pahlka-to-take-a-year-at-the-white-house,https://nextcity.org/images/made/6313540476_0807f3c736_z_640_480_80.jpg,,
How Code For America's Apps Benefit Kansas City,NPR,28/5/13,15853,"May 28, 2013","Code for America, a new nonprofit out of San Francisco, is building apps to make cities work better for citizens. One of its apps often cuts down the normal time it would take to find something — for example, property research in the treasurer's office.",tag,http://www.npr.org/2013/05/28/186861864/how-apps-help-kansas-city-work-better,,,NEEDS IMAGE
Coding Skills Combine with Civic Consciousness to Improve Government,PBS,20/5/13,15845,"May 20, 2013","Making cities work better through high-tech innovation,that's the ambitious goal of one San Francisco startup",tag,http://www.pbs.org/newshour/bb/science-jan-june13-code_05-20/,http://www-tc.pbs.org/prod-media/newshour/photos/2013/05/20/code_transcript_pullout.jpg,,
A High Tech Solution for a Neighborhood Problem,PBS,20/5/13,15845,"May 20, 2013","Spencer Michels sat down with Alex Pandel and Eddie Tejeda, two of the co-founders of an app called BlightStatus, as part of Code for America’s fellowship program.",tag,http://www.pbs.org/newshour/rundown/a-high-tech-solution-for-a-neighborhood-problem/,,,NEEDS IMAGE
Ten Ways Civic Hacking is Good for Cities,Directions Magazine,30/5/13,15855,"May 30, 2013","At Code for America, they are gearing up for the National Day of Civic Hacking; a weekend that galvanizes its ongoing movement to call citizens to action.",tag,http://www.directionsmag.com/entry/ten-ways-civil-hacking-is-good-for-cities/329834,,,NEEDS IMAGE
Techs and the City,Marie Claire,1/5/13,15826,"May 1, 2013","How Code for America, Jennifer Pahlka's nonprofit brainchild, solves civic problems with technology.",tag,https://docs.google.com/a/codeforamerica.org/file/d/0B7kCNBAFaNnCYzU5WHU1SGt1WUU/edit,,,NEEDS IMAGE
Peacecorps for Geeks,Time,15/4/13,15810,"Apr 15, 2013","The Gumbo is great, and the nightlife is even better, but let's face it: no one is ever going to mistake New Orleans for a tech hub.",tag,"http://content.time.com/time/magazine/article/0,9171,2140202-1,00.html",http://img.timeinc.net/time/daily/2013/1304/360_bcode_0415.jpg,,
Web Developers Trade High-paying Jobs for Civic Service,CNET News,9/4/13,15804,"Apr 9, 2013","Across the U.S., cities are getting high-tech help for longstanding problems thanks to San Francisco-based Code for America.",Videos,https://www.youtube.com/watch?v=tq4YQXt3gac,,,Use generic image
The Digital Mavericks,Details,1/4/13,15796,"Apr 1, 2013","In many walks of life, the Internet has eliminated bureaucracy and middlemen: between buyers and sellers, between celebrities and fans—but not so much between citizens and government.",Jennifer Pahlka,http://www.details.com/culture-trends/critical-eye/201304/digital-mavericks?currentPage=5,http://www.details.com/images/culture-trends/critical-eye/201304/digital_mavs_sized/jennifer_pahlka_harticle_embed.jpg,,
Urban Activists Hack Their Way Toward Open Government,,30/3/13,15794,"Mar 30, 2013","Oakland partners with Code for America, but how much difference can tech make?",Oakland,http://arstechnica.com/business/2013/03/urban-activists-hack-their-way-towards-open-government/,http://cdn.arstechnica.net/wp-content/uploads/2013/03/3468805348_db2eb7c546_b-640x428.jpg,,
Know Your Bushwicks From Your Bed-Stuys With This Addictive Online Game,Fast Company,15/3/13,15779,"Mar 15, 2013",Click That 'Hood lets you learn how well you know the neighborhoods of your city (and many others across the country). How local are you?,Click That Hood,http://www.fastcoexist.com/1681581/know-your-bushwicks-from-your-bed-stuys-with-this-addictive-online-game,http://d.fastcompany.net/multisite_files/coexist/imagecache/slideshow_large/slideshow/2013/03/1681581-slide-clickthathood-detroit.jpg,,
The Top 100 NGOs 2013 Edition,The Global Journal,25/1/13,15730,"Jan 25, 2013","Like many buzzwords, “Government 2.0″ signifies much, but has delivered little of real substance. The idea that the Internet could revolutionize conventional governance processes, however, is worth pursuing.",tag,http://www.codeforamerica.org/blog/2013/01/25/71/,http://www.codeforamerica.org/blog/wp-content/uploads/2013/01/GlobalJournal_100ngos.png,,
"Code for America unites techies, government",SF Gate,11/12/12,15685,"Dec 11, 2012","A little more than a year ago, Prashant Singh was an engineer at Microsoft's Mountain View campus working on projects including Internet-connected televisions and the Xbox.",Oakland,http://www.sfgate.com/technology/article/Code-for-America-unites-techies-government-4109100.php#photo-3878366,http://ww3.hdnux.com/photos/16/62/67/3878366/5/1024x1024.jpg,,
A Peace Corps for geeks? Nonprofit donates apps to cities.,Christian Science Monitor,17/11/12,15661,"Nov 17, 2012",Code for America has developed apps that have trimmed Boston's costs for digging out fire hydrants after snow and made Philadelphia city services more accessible.,tag,http://www.csmonitor.com/Business/Guide-to-Giving/2012/1117/A-Peace-Corps-for-geeks-Nonprofit-donates-apps-to-cities,,,
The 20 Most Innovative People In Democracy 2012,TechCrunch,3/11/12,15647,"Nov 3, 2012","On the eve of America’s political new year, Election Day, we highlight this year’s most innovative people in democracy.",Jennifer Pahlka,http://techcrunch.com/2012/11/03/the-20-most-innovative-people-in-democracy-2012/,https://tctechcrunch2011.files.wordpress.com/2012/11/democracy4.jpg?w=736,,
How Code for America Is Reinventing Government,Mashable,17/10/12,15630,"Oct 17, 2012",Civic accelerators...hone startups that are focused on leveraging technology and government data to make cities run better. ,tag,http://mashable.com/2012/10/17/code-for-america-tech-government/,http://rack.2.mshcdn.com/media/ZgkyMDEyLzEyLzA0LzJjL2hvd2NvZGVmb3JhLjV1Zi5qcGcKcAl0aHVtYgk5NTB4NTM0IwplCWpwZw/089019a7/08d/how-code-for-america-is-reinventing-government-6a48a72d74.jpg,,
"Jennifer Pahlka: Lover of geeks, keeper of chickens",,2/10/12,15615,"Oct 2, 2012",Pahlka has created a prestigious fellowship that pulls the smartest people from the tech world and has them work with local governments to make them more efficient.,"Jennifer Pahlka,Videos",http://www.cnn.com/2012/10/02/tech/jennifer-pahlka-proud-geek-keeper-of-chickens/index.html,,,NEEDS IMAGE
Digital Volunteers Take Over City Hall,NBC News,1/9/12,15584,"Sep 1, 2012",Code for America and Honolulu Answers featured on MSNBC.,"Honolulu Answers,Videos",http://www.nbcnews.com/id/46994936/vp/49035675#49035675,,,NEEDS IMAGE
First Person: Jennifer Pahlka,KQED Radio,31/8/12,15583,"Aug 31, 2012","Jen Pahlka founded Code for America, a Bay Area non-profit working to reshape the way government works through the use of technology and public service. She joins us in the studio as part of our ""First Person"" series on the leaders, innovators and other compelling characters that make the Bay Area unique.","Audio,Jennifer Pahlka",http://www.kqed.org/a/forum/R201208311000,http://u.s.kqed.net/2012/08/30/JenniferPahlka.jpg,,
A Peace Corps for Civic-Minded Geeks,The Wall Street Journal,,,,"So-called Government 2.0, tapping online power to tackle offline problems from city hall on up, is an underappreciated, and still revolutionary, idea.",tag,https://id.wsj.com/access/pages/wsj/us/signin.html?mg=inert-wsj&url=http%3A%2F%2Fprofessional.wsj.com%2Farticle%2FSB10000872396390444270404577605622944527722.html%3Fmod%3DWSJ_LifeStyle_Lifestyle_5%26mg%3Dreno64-wsj&mg=id-wsj,,,"NEEDS IMAGE, DATE"
44 Female Founders Every Entrepreneur Should Know,Mashable,6/8/12,15558,"Aug 6, 2012","Pahlka is a graduate of Yale University and began her career in the non-profit sector. In 2009, she founded Code for America, which connects developers with governments to improve services for citizens; it received a $1.5 million grant from Google in 2011.",Jennifer Pahlka,http://mashable.com/2012/08/06/female-founders/,http://rack.1.mshcdn.com/media/ZgkyMDEyLzA4LzA2LzExXzA3XzEwXzUxX2ZpbGUKcAl0aHVtYgkxMjAweDk2MDA-/176b51ed,,
Web Tool Ignites Wildfire Preparedness Efforts,Government Technology,6/8/12,15558,"Aug 6, 2012","A new Web application developed by Code for America is helping residents of Austin, Texas, better protect their homes from wildfires.",Prepared.ly,http://www.govtech.com/wireless/Web-Tool-Wildfire-Preparedness.html,http://media2.govtech.com/images/770*1000/080612-austinwildfires-450.jpg,,
New Program to Help Philly Crowd-Source Its Comprehensive Plan,Next City,5/6/12,15496,"Jun 5, 2012","For those who see smart tech as the answer to fostering civic engagement, promising news came out of Philadelphia on Friday.",Philadelphia,https://nextcity.org/daily/entry/new-program-to-help-philly-crowd-source-its-comprehensive-plan,https://nextcity.org/images/made/textizen_002_640_360_80.jpeg,,
