"First Name (required)","Last Name (required)","Title","Company","Description","Image URL","Website","Twitter Handle","Facebook URL","LinkedIn URL","Session IDs","Attendee ID","Speaker ID"
"Kate","Joncas","Deputy Mayor of Operations","City of Seattle","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/kate-joncas.jpg","","","","","breakout_160","","kate-joncas"
"Beth","Blauer","Executive Director","Johns Hopkins University Center for Government Excellence","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/beth-blauer.jpg","","","","","breakout_160,breakout_145","","beth-blauer"
"Georgia","Bullen","Technical Projects Manager","Open Technology Institute at New America","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/georgia-bullen.jpg","","","","","breakout_167","","georgia-bullen"
"Peter","Pirnejad","‎Development Services Director","City of Palo Alto","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/peter-pirnejad.jpg","","","","","breakout_165","","peter-pirnejad"
"Seth","Axthelm","Developer Evangelist","Accela","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/seth-axthelm.jpg","","","","","breakout_165","","seth-axthelm"
"Cameron","Carlyle","GIS Analyst","City of Asheville","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/cameron-carlyle.jpg","","","","","breakout_143","","cameron-carlyle"
"Dave","Michelson","GIS Analyst","City of Ashville","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/dave-michelson.jpg","","","","","breakout_143","","dave-michelson"
"Byron","Auguste","Opportunity@Work Managing Director and former White House economic advisor","","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/byron-auguste.jpg","","","","","breakout_140","","byron-auguste"
"Stephen","Yadzinski ","Chief Technology Officer","Innovate+Educate","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/stephen-yadzinski.jpg","","","","","breakout_140","","stephen-yadzinski"
"Sandi","Hoff","Director","Education Collaborative, Nashville Technology Council","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/sandi-hoff.jpg","","","","","breakout_140","","sandi-hoff"
"Nicole","Isaac","Head of Economic Graph Policy Partnerships","LinkedIn","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/nicole-isaac.jpg","","","","","breakout_122","","nicole-isaac"
"Cindy","Tan","Project Director","Civic Action","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/cindy-tan.jpg","","","","","breakout_122","","cindy-tan"
"Laura","Moran","Chief of Staff","San Francisco Unified School District","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/laura-moran.jpg","","","","","breakout_122","","laura-moran"
"Ted","Smith","Chief Technology Officer","Louisville Metro Government","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/ted-smith.jpg","","","","","breakout_122","","ted-smith"
"Akisia","Grigsby","Co-Executive Director and Founding Partner","Open JC","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/akisia-grigsby.jpg","","","","","breakout_141","","akisia-grigsby"
"Brian","Platt","Director of Innovation","City of Jersey City","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/brian-platt.jpg","","","","","breakout_141","","brian-platt"
"Emmanuel","Simon","Co-Executive Director and Founding Partner","Open JC","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/emmanuel-simon.jpg","","","","","breakout_141","","emmanuel-simon"
"Sharad","Hedge","Director of Technology","Open JC","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/sharad-hedge.jpg","","","","","breakout_141","","sharad-hedge"
"Ian","Mance","Staff Attorney","Southern Coalition for Social Justice","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/ian-mance.jpg","","","","","breakout_142","","ian-mance"
"Colin","Copeland","Co-captain","Code for Durham Brigade; Chief Technology Officer, Caktus Group","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/colin-copeland.jpg","","","","","breakout_142","","colin-copeland"
"Jay","Bhatt, DO, MPH, MPA, FACP ","Chief Health Officer","Illinois Hospital Association","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/jay-bhatt.jpg","","","","","breakout_163","","jay-bhatt"
"Anish","Mahajan, MD, MPH","Director of System Planning","Improvement, and Data Analytics, Los Angeles County Department of Health Services","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/anish-mahajan.jpg","","","","","breakout_163","","anish-mahajan"
"Leslie","Upledger Ray, MPH, MPPA, MA","Senior Epidemiologist County of San Diego Health and Human Services Agency","","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/leslie-upledger-ray.jpg","","","","","breakout_163","","leslie-upledger-ray"
"Muntu","Davis, MD, MPH ","County Health Officer","Alameda County","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/muntu-davis.jpg","","","","","breakout_163","","muntu-davis"
"Mai","Ling Garcia","Online Engagement Manager","City of Oakland","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/mai-ling-garcia.jpg","","","","","breakout_144","","mai-ling-garcia"
"Kiran","Jain","Chief Strategy Officer","Neighborly","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/kiran-jain.jpg","","","","","breakout_144","","kiran-jain"
"Mike","Flowers","Chief Analytics Officer","Enigma","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/mike-flowers.jpg","","","","","breakout_145","","mike-flowers"
"Abhi","Nemani","Chief Data Officer","City of Los Angeles","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/abhi-nemani.jpg","","","","","breakout_145,breakout_159","","abhi-nemani"
"Shireen","Deobhakta","Performance Coach","Louisville Metro Government ","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/shireen-deobhakta.jpg","","","","","breakout_146","","shireen-deobhakta"
"Cathryn","Posey","Talent","United States Digital Service","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/cathryn-posey.jpg","","","","","breakout_147","","cathryn-posey"
"Todd","Park","Tech Advisor","the White House","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/todd-park.jpg","","","","","breakout_147","","todd-park"
"Erin","Abler","Lead Content Designer","City of Philadelphia","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/erin-abler.jpg","","","","","breakout_148","","erin-abler"
"Laurenellen","McCann","Civic Innovation Fellow","Institute New America Foundation","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/laurenellen-mccann.jpg","","","","","breakout_149","","laurenellen-mccann"
"Mollie","Bates","Graphic Designer","Consumer Financial Protection Bureau","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/mollie-bates.jpg","","","","","breakout_150","","mollie-bates"
"Ben","Guhin","UX Design Fellow","Consumer Financial Protection Bureau","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/ben-guhin.jpg","","","","","breakout_150","","ben-guhin"
"Sonja","Marziano","Project Coordinator","SmartChicago Collaborative","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/sonja-marziano.jpg","","","","","breakout_151","","sonja-marziano"
"Samantha","Hammar","Director of Strategic Partnerships","Massachusetts Office of Information Technology ","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/samantha-hammer.jpg","","","","","breakout_153","","samantha-hammer"
"Scott","Came","‎Executive Director","SEARCH","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/scott-came.jpg","","","","","breakout_154","","scott-came"
"David","Leonard","Developer","Code for America","","http://codeforamerica.org/media/images/people/david-leonard.jpg","","","","","breakout_156","","david-leonard"
"Amy","Mok","Software Developer","Consumer Financial Protection Bureau","","http://codeforamerica.org/media/images/people/amy-mok.jpg","","","","","breakout_156","","amy-mok"
"Derek","Eder","Founder and Partner","DataMade","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/derek-eder.jpg","","","","","breakout_157","","derek-eder"
"Joel","Mahoney","Co-Founder","Open Counter Enterprises Inc.","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/joel-mahoney.jpg","","","","","breakout_159","","joel-mahoney"
"Jane","Gong","Program Director","Office of Technology, City of San Francisco","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/jane-gong.jpg","","","","","breakout_159","","jane-gong"
"Star","Wilbraham","Office of Intergovernmental Affairs","U.S. Small Business Administration","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/star-wilbraham.jpg","","","","","breakout_159","","star-wilbraham"
"Aseem","Mulji","Data & Tech Manager","Participatory Budgeting Project","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/aseem-mulji.jpg","","","","","breakout_161","","aseem-mulji"
"Marti","Brown","City Councilwoman","City of Vallejo, CA","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/marti-brown.jpg","","","","","breakout_161","","marti-brown"
"Adnan","Mahmud","Founder and CEO","LiveStories","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/adnan-mahmud.jpg","","","","","breakout_166","","adnan-mahmud"
"Anders","Maul","Marketing Manager","LiveStories","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/anders-maul.jpg","","","","","breakout_166","","anders-maul"
