"First Name (required)","Last Name (required)","Title","Company","Description","Image URL","Website","Twitter Handle","Facebook URL","LinkedIn URL","Session IDs","Attendee ID","Speaker ID"
"Lenore","Anderson","Executive Director","Californians for Safety and Justice","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/lenore-anderson.jpg","","","","","session_123","","lenore-anderson"
"Lynn","Overmann ","Senior Policy Advisor to the US Chief Technology Officer","White House Office of Science and Technology Policy","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/lynn-overmann.jpg","","","","","session_123","","lynn-overmann"
"Paul","Figueroa","‎Assistant Chief","City of Oakland","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/paul-figueroa.jpg","","","","","session_123","","paul-figueroa"
"Kellan","Elliot McCrea","Chief Technology Officer","Etsy","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/kellan-elliot-mccrea.jpg","","","","","session_131","","kellan-elliot-mccrea"
"Ade","Adewunmi","Digital Strategy Advisor","United Kingdom Government Digital Service","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/ade-adewunmi.jpg","","","","","session_132","","ade-adewunmi"
"Aaron","Ogle","Director of Civic Technology","City of Philadelphia, PA","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/aaron-ogle.jpg","","","","","session_132","","aaron-ogle"
"Nicole","Neditch","Senior Director of Government Practices","Code for America","","http://codeforamerica.org/media/images/people/nicole-neditch.jpg","","","","","session_132","","nicole-neditch"
"Ben","Smithgall","2015 Pittsburgh Fellow","Code for America ","","http://codeforamerica.org/media/images/people/ben-smithgall.jpg","","","","","session_132","","ben-smithgall"
"Laura","Meixell","Analytics and Strategy Manager","City of Pittsburgh","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/laura-meixell.jpg","","","","","session_132","","laura-meixell"
"Erie","Meyer","Founding Member","United States Digital Service","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/erie-mayer.jpg","","","","","session_132","","erie-mayer"
"Efrem","Bycer","Director of Economic Development","Code for America","","http://codeforamerica.org/media/images/people/efrem-bycer.jpg","","","","","session_133,breakout_115,breakout_168","","efrem-bycer"
"Grant","Smith","2015 West Sacramento Fellow","Code for America","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/grant-smith.jpg","","","","","session_133","","grant-smith"
"Jon","Robinson","Deputy City Manager","City of West Sacramento","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/jon-robinson.jpg","","","","","session_133","","jon-robinson"
"William","Tyner","2015 Albuquerque Fellow","Code for America","","http://codeforamerica.org/media/images/people/william-tyner.jpg","","","","","session_133","","william-tyner"
"Mark","Leech","Applications Services Group Manager","City of Albuquerque","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/mark-leech.jpg","","","","","session_133,breakout_132","","mark-leech"
"Dan","Hon","Editorial Director","Code for America","","http://codeforamerica.org/media/images/people/dan-hon.jpg","","","","","session_135","","dan-hon"
"Jaron","Benjamin","Vice President of Community Mobilization & National Advocacy","HousingWorks","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/jaron-benjamin.jpg","","","","","session_135","","jaron-benjamin"
"Eddie","Tejeda","Director of Technology","OpenOakland","","http://codeforamerica.org/media/images/people/eddie-tejeda.jpg","","","","","session_135","","eddie-tejeda"
"Whitney","Barazoto","Executive Director","Oakland Public Ethics Commission","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/whitney-barazoto.jpg","","","","","session_135","","whitney-barazoto"
"Catherine","Bracy","Senior Director of Partnerships and Ecosystem","Code for America","","http://codeforamerica.org/media/images/people/catherine-bracy.jpg","","","","","session_136,breakout_120","","catherine-bracy"
"Julie","Steenson","Deputy Performance Officer","City of Kansas City, MO","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/julie-steenson.jpg","","","","","session_136,breakout_130","","julie-steenson"
"Sam","Vaughn","Program Mentor","City of Richmond, CA","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/sam-vaughn.jpg","","","","","session_136","","sam-vaughn"
"Rosetta","Carrington Lue","Chief Customer Service Officer","City of Philadelphia, PA","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/rosetta-carrington-lue.jpg","","","","","session_136","","rosetta-carrington-lue"
"Ernie","Hsiung","2015 Miami-Dade Fellow","Code for America","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/ernie-hsiung.jpg","","","","","session_136","","ernie-hsiung"
"Mike","Sarasti","‎Program Manager","Miami-Dade County","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/mike-sarasti.jpg","","","","","session_136","","mike-sarasti"
"Dana","Chisnell","User Researcher","United States Digital Service","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/dana-chisnell.jpg","","","","","session_137","","dana-chisnell"
"Becky","Boone","Senior Fellow","Code for America","","http://codeforamerica.org/media/images/people/becky-boone.jpg","","","","","breakout_101","","becky-boone"
"Bob","Sofman","EVP - Government Sector","SmartProcure","","http://codeforamerica.org/media/images/people/bob-sofman.jpg","","","","","breakout_102","","bob-sofman"
"Cathy","Deng","Developer","DataMade","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/cathy-deng.jpg","","","","","breakout_103","","cathy-deng"
"Landon","Reed","Transportation Technologist","Atlanta Regional Commission","","http://codeforamerica.org/media/images/summit/2015/speakers/thumbnails/landon-reed.jpg","","","","","breakout_104","","landon-reed"
